Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,10uF,C1222438
C2,C0603,1,1uF,C513775
C3,C0402,1,220pF,C107025
C4,C0603,1,100nF,C30926
CN1,CONN-SMD_7P-P1.25_HCTL_HC-GH-7PWTKK,1,HC-GH-7PWTKK,C3011949
CN2,CONN-TH_4P-P3.81_DB2ERC-3.81-4P,1,DB2ERC-3.81-4P,C395698
H1,HDR-TH_3P-P1.27-V-M,1,X1311WV-03J-C18D27,C2881648
"LED1, LED2, LED3",LED0603-RD,3,blue,C84266
"R1, R2, R3, R4, R5",R0603,5,1K,C22548
RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,1,CRA034RJ82RP05,C429276
U1,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,XMC1302-Q024X0032-AB,C5121285
"U2, U3",SOP-4_L4.3-W4.4-P2.54-LS7.0-BL,2,AQY282SX,C250827
VAL,WEEE_7mm,1,WEEE_7mm,
