Designator,Mid X,Mid Y,Rotation,Layer
C1,73.295,-45.7,0.0,top
C2,73.295,-47.7,0.0,top
C3,64.995,-46.3,270.0,top
C4,69.995,-55.9,0.0,top
CN1,69.9,-40.85,180.0,top
CN2,69.875,-69.4,0.0,top
H1,76.7,-51.57,270.0,top
LED1,63.0025,-61.1,90.0,top
LED2,76.7025,-61.1,90.0,top
LED3,64.495,-50.6,180.0,top
R1,63.0025,-64.8,270.0,top
R2,76.7025,-64.75,270.0,top
R3,64.495,-52.6,0.0,top
R4,73.545,-55.9,180.0,top
R5,66.445,-55.9,0.0,top
RN1,68.295,-46.3,180.0,top
U1,69.995,-51.6,0.0,top
U2,72.495,-62.8,180.0,top
U3,67.1025,-62.8,180.0,top
VAL,69.8,-62.7,90.0,bottom
